uuid,type,city,street,date,severity
4b0a175b-964d-4e89-bfbb-4baf66af9dfd,jam,quilicura,av. manuel antonio matta,2025-04-27 21:44:46,
65150e72-11c1-47fb-af9a-ed561eec206e,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
4727bc82-705d-44e7-8914-9f5dca9dbd93,police,estacion central,,2025-04-27 21:44:25,
52f66b1d-73fb-436f-8b07-f0e912be7df4,road_closed,pudahuel,puerto madero,2025-04-17 15:39:44,
077ee7d5-c978-487f-8605-30ce980be39a,road_closed,renca,vicuña mackenna,2025-01-06 12:05:32,
dc9d2b2e-b456-448b-ad59-3fc2982f07aa,hazard,santiago,av. libertador bernardo o'higgins,2025-02-17 12:00:00,
1793fcd4-c4c0-4848-a0bd-66d43e606b7b,hazard,santiago,av. libertador bernardo o'higgins,2025-02-17 12:00:00,
684f7d3a-2bc6-4696-9911-0accaa237273,hazard,lo espejo,av. lo espejo,2025-04-27 21:01:06,
61991fb7-5768-42b7-adf8-54da440c57a8,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
5f4f140d-91fb-4ac7-b126-fdb859a793a9,hazard,santiago,av. libertador bernardo o'higgins,2025-02-17 12:00:00,
56dc3163-fcc5-4818-b1bc-9f856c91ab9b,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
bec3e5fd-dd60-4d69-a164-6de4e6e10ceb,jam,huechuraba,av. americo vespucio,2025-04-27 21:40:52,
c38a9da0-7f98-4c63-a414-cda68d2572f4,road_closed,providencia,av. vitacura > oriente,2025-02-13 19:25:43,
ca289c49-d77b-4715-95dd-e3385bc02445,hazard,la florida,av. departamental,2025-04-27 21:48:17,
7086ab75-a299-439c-9345-0b87e01f94f7,road_closed,"malloco, peñaflor",los aromos,2025-04-15 17:44:42,
52cece63-d5cf-4f85-88fd-f1e462bcec5d,accident,peñalolen,quebrada camarones,2025-04-27 21:28:00,
c216b0e7-a6a3-4ee8-a54e-190206159ddf,road_closed,conchali,av. independencia,2024-06-06 13:23:34,
4926b57d-ef8a-4e2a-bc88-fb3e6ade1991,chit_chat,la florida,geronimo de alderete,2025-04-27 21:49:04,
74e4194b-b0b6-4d50-ba34-075366f4647d,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
3f9e9df1-3ad1-425b-b2cd-bcfa1e6bcf05,hazard,providencia,av. pedro de valdivia,2025-04-27 21:41:49,
f79ffcba-260e-4fb6-9ef4-45ec9e17b818,jam,puente alto,av. camilo henriquez,2025-04-27 21:27:28,
5491432f-69a4-4d66-9b4e-a7fcf779cfac,hazard,santiago,av. libertador bernardo o'higgins,2025-02-17 12:00:00,
fa6d7bf5-ef2d-43f6-b777-d825dd29e8f9,hazard,santiago,salida 1-s > santa isabel / alameda,2025-04-27 21:27:40,
f00d0718-442b-42f3-b9e6-da0a21e4dbc4,road_closed,"malloco, peñaflor",las acacias,2025-04-16 14:53:46,
12792146-18c9-4ca9-857e-9daea29a428c,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
cba09140-ee70-492f-8c90-8dd7ba0cf4c7,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
3aa52de8-f67a-495d-801c-71cbaabd3b0b,jam,puente alto,nemesio vicuña,2025-04-27 21:32:53,
4c75baab-6f33-446d-a60a-a9eef724fc4f,chit_chat,ñuñoa,av. ossa,2025-04-27 21:22:23,
fbd65851-8621-4deb-a310-7603e73b906f,road_closed,pudahuel,av. americo vespucio,2025-04-27 21:02:03,
bf8f2e8b-a140-4060-aec1-af59aa5aa6d4,road_closed,maipu,av. hugo bravo,2025-04-02 12:26:45,
730e9cbc-dc8e-441c-98a1-c50b88b5eef2,road_closed,maipu,aves del paraiso,2025-04-18 04:05:16,
c41e890b-6810-434a-8894-42a8a58185e4,road_closed,maipu,longitudinal,2025-04-18 04:01:24,
82bf591c-3806-4a08-ba11-9a9e154b62fb,hazard,maipu,cordillera de los andes,2025-04-27 21:21:01,
182acc4d-a402-4c46-b962-58c066fca658,road_closed,conchali,av. independencia,2024-06-06 13:23:34,
00d7dd01-0731-4465-a12f-a1949d0ff25d,hazard,santiago,av. libertador bernardo o'higgins,2025-02-17 12:00:00,
a65a78c8-a326-4cad-9639-cafa97017c24,road_closed,quinta normal,av. carrascal,2025-04-27 21:17:40,
c765c129-4c36-45fe-a59d-41e9f2cb22e9,chit_chat,la cisterna,gran avenida jose miguel carrera,2025-04-27 21:19:19,
2aeb7b04-f80c-4156-871b-0bc4b88275ae,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
a882fc55-8ef8-493e-bb64-1c4be7a1102d,road_closed,padre hurtado,av. santa leonor,2024-11-14 19:06:39,
eb1e91ac-51f0-41e0-be32-d47a94407e3c,road_closed,cerro navia,vicuña rozas,2025-01-20 04:44:57,
5b6f0c4a-4ad6-4d24-aa55-623b31a40341,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
5de248a1-fbd5-475b-b0aa-7101d5d1c4f9,road_closed,cerro navia,vicuña rozas,2025-01-20 04:44:57,
add8f68e-eddd-47e0-8e85-abc8a320329c,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
4c8dfdbf-8534-4d1d-bb22-06385fa97e70,police,independencia,inglaterra,2025-04-27 21:35:01,
5aceda78-85df-4153-a982-c71d97b7a51c,road_closed,providencia,ramon carnicer,2025-03-19 19:35:54,
5e7ae77b-08b2-40dc-b9be-9f2f7c67da52,road_closed,providencia,general bustamante,2025-04-02 12:21:11,
dffadf98-4e33-44e7-a582-c2aae430e101,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
85ac286a-c87a-443c-b0b9-d2a8a74f3221,road_closed,la florida,santa amalia,2025-04-27 21:34:52,
4da62f7c-38c8-484b-890f-202024268e51,hazard,cerrillos,av. americo vespucio,2025-04-27 21:38:20,
418f145d-070e-477c-803c-ee2da597b08d,hazard,providencia,santa isabel,2025-04-27 20:51:56,
0fa9dbd5-39df-4b64-8842-31c3c4da9125,road_closed,pudahuel,puerto madero,2025-04-17 15:40:36,
37e99c4f-e024-4eb4-844e-35ff937ed8ee,road_closed,cerro navia,vicuña rozas,2025-01-20 04:44:57,
